Record_id,G_id,BetType_id,Odds1,Odds2,Lastest_modified,Status
R00034,21400500,BT0007,5.74,16.34,2023-06-13 11:11:03,Expired
R00035,41600939,BT0002,11.54,14.88,2023-09-23 00:50:59,Expired
R00036,22100497,BT0007,24.71,22.4,2020-08-28 07:34:41,Expired
R00037,11301145,BT0004,21.36,9.02,2022-03-15 23:43:31,Expired
R00038,22001281,BT0007,12.46,15.53,2021-12-28 19:02:33,Expired
R00039,21400744,BT0002,12.97,13.85,2023-10-22 12:14:37,Expired
R00040,42100760,BT0006,16.34,3.1,2020-11-27 09:55:53,Expired
R00041,21300417,BT0004,22.19,16.76,2020-07-24 11:08:50,Expired
R00042,12100951,BT0002,8.51,16.19,2021-04-06 15:50:15,Expired
R00043,11500144,BT0004,2.61,12.31,2021-09-08 04:49:19,Expired
R00044,41901085,BT0002,14.93,29.68,2021-10-03 00:11:43,Expired
R00045,11800059,BT0002,16.73,22.75,2021-09-20 03:04:54,Expired
R00046,21600513,BT0005,5.75,11.03,2022-05-13 11:02:48,Expired
R00047,11900836,BT0001,15.41,25.9,2024-08-18 17:47:31,Expired
R00048,42200689,BT0002,15.24,12.75,2020-06-02 11:14:55,Expired
R00049,21700118,BT0006,2.71,21.53,2022-01-24 17:18:27,Expired
R00050,12000884,BT0003,14.47,7.88,2023-04-11 14:33:37,Expired
R00051,22101225,BT0003,22.23,27.41,2023-08-25 17:19:18,Expired
R00052,21600013,BT0003,28.29,21.36,2021-08-23 12:33:00,Expired
R00053,11900264,BT0004,26.66,10.59,2021-11-27 11:31:43,Expired
R00054,42100579,BT0004,23.61,9.33,2021-04-13 17:08:02,Expired
R00055,11401188,BT0007,16.41,26.37,2024-10-08 13:27:52,Expired
R00056,42100867,BT0006,16.7,20.82,2023-04-09 17:28:14,Expired
R00057,11200560,BT0003,22.15,8.26,2022-05-28 12:12:52,Expired
R00058,22000682,BT0004,20.96,4.43,2020-12-18 21:54:27,Expired
R00059,21300385,BT0001,24.68,11.6,2019-12-27 11:53:50,Expired
R00060,21800288,BT0007,22.58,1.64,2024-11-19 04:06:14,Expired
R00061,41401220,BT0003,10.49,8.81,2024-08-10 01:58:53,Expired
R00062,21301263,BT0007,20.64,20.66,2024-09-16 15:27:56,Expired
R00063,21500235,BT0001,5.81,13.85,2023-07-01 04:55:50,Expired
R00064,41700289,BT0004,16.56,3.75,2023-10-16 23:15:56,Expired
R00065,41201253,BT0004,25.85,15.61,2023-07-14 14:08:55,Expired
R00066,21801078,BT0003,28.73,12.96,2023-06-07 01:44:51,Expired
R00067,21600529,BT0005,20.68,7.76,2023-03-16 21:41:51,Expired
R00068,11400241,BT0002,8.66,25.89,2020-06-08 14:25:46,Expired
R00069,41200530,BT0005,5.75,5.43,2022-05-21 16:16:15,Expired
R00070,22200742,BT0007,9.24,4.51,2020-11-06 20:43:58,Expired
R00071,42200945,BT0004,2.24,3.17,2023-04-27 22:09:37,Expired
R00072,21600215,BT0004,3.68,9.98,2024-05-12 23:38:45,Expired
R00073,41600564,BT0002,19.68,10.97,2021-01-02 07:26:30,Expired
R00074,11600413,BT0007,5.04,11.29,2022-11-25 04:39:53,Expired
R00075,11700864,BT0004,27.49,3.65,2021-08-24 22:16:00,Expired
R00076,41900110,BT0002,14.89,15.82,2022-12-30 07:16:55,Expired
R00077,41200557,BT0006,14.14,7.87,2020-10-05 16:57:16,Expired
R00078,41800166,BT0005,17.45,3.49,2024-08-26 01:32:26,Expired
R00079,42001051,BT0007,27.44,7.8,2020-02-08 22:13:25,Expired
R00080,21900615,BT0002,29.63,13.72,2024-05-17 19:56:33,Expired
R00081,41800165,BT0004,29.14,25.64,2022-04-28 06:49:07,Expired
R00082,41901106,BT0002,29.47,8.11,2024-01-08 13:09:04,Expired
R00083,22200713,BT0003,25.44,24.57,2020-01-29 17:45:23,Expired
R00084,41701217,BT0004,3.57,14.88,2020-03-06 13:23:00,Expired
R00085,21200916,BT0005,11.76,2.27,2020-04-08 19:14:14,Expired
R00086,21500720,BT0002,29.79,19.96,2021-07-28 19:45:32,Expired
R00087,12001266,BT0003,21.08,2.9,2020-02-22 10:21:19,Expired
R00088,21800688,BT0004,19.16,28.12,2022-02-21 15:39:53,Expired
R00089,21900449,BT0003,1.65,24.36,2024-08-20 22:20:27,Expired
R00090,41700020,BT0006,5.16,5.35,2021-06-23 15:40:07,Expired
R00091,21800757,BT0005,28.69,18.17,2022-03-28 17:14:52,Expired
R00092,41301151,BT0005,5.82,13.5,2024-02-28 14:01:26,Expired
R00093,21200869,BT0002,18.63,24.75,2020-03-12 14:55:15,Expired
R00094,41600283,BT0002,4.15,23.14,2023-07-26 05:08:49,Expired
R00095,12001201,BT0006,28.14,24.63,2023-01-26 13:21:02,Expired
R00096,11500146,BT0005,24.8,5.87,2021-02-10 22:17:38,Expired
R00097,11400886,BT0001,6.07,27.78,2024-06-10 12:11:31,Expired
R00098,11500152,BT0005,19.85,15.26,2024-03-17 17:19:05,Expired
R00099,42000372,BT0007,25.69,25.54,2020-07-12 16:35:52,Expired
R00100,41700029,BT0007,8.82,20.19,2022-05-01 02:03:06,Expired
R00101,21400538,BT0005,8.14,23.92,2020-03-02 07:29:17,Expired
R00102,42201111,BT0001,22.29,4.95,2021-06-29 10:15:23,Expired
R00103,11901096,BT0007,13.59,6.35,2020-09-28 12:53:08,Expired
R00104,21300003,BT0004,24.12,20.87,2020-03-17 10:34:45,Expired
R00105,11201095,BT0003,16.23,4.29,2023-05-22 12:10:39,Expired
R00106,22000710,BT0007,2.98,11.35,2023-07-19 23:16:43,Expired
R00107,21300904,BT0004,13.02,12.43,2021-05-06 09:17:34,Expired
R00108,41200244,BT0005,24.55,15.78,2024-09-29 05:19:54,Expired
R00109,41301024,BT0003,18.8,18.54,2020-03-29 00:06:16,Expired
R00110,12001234,BT0005,11.52,5.43,2020-01-30 16:24:56,Expired
R00111,11600967,BT0007,23.45,10.81,2023-01-31 14:31:32,Expired
R00112,21500250,BT0006,5.92,27.09,2020-05-18 06:30:55,Expired
R00113,41501088,BT0007,13.81,4.36,2022-05-28 14:29:24,Expired
R00114,11200339,BT0006,5.85,9.05,2023-11-10 13:58:21,Expired
R00115,12200405,BT0004,8.8,19.53,2021-08-06 22:36:29,Expired
R00116,21301111,BT0002,25.32,14.0,2020-05-14 11:15:36,Expired
R00117,41400667,BT0007,13.99,29.21,2020-07-21 02:48:57,Expired
R00118,11400161,BT0004,24.23,7.6,2021-08-08 00:04:56,Expired
R00119,21800749,BT0006,25.12,12.88,2022-03-01 10:29:57,Expired
R00120,21300155,BT0006,7.39,3.09,2023-04-07 02:42:46,Expired
R00121,21700071,BT0005,24.43,11.83,2023-11-04 12:21:34,Expired
R00122,42200775,BT0004,24.54,27.54,2021-07-14 15:02:03,Expired
R00123,11700207,BT0001,25.38,9.74,2024-10-31 20:35:18,Expired
R00124,21800014,BT0007,27.63,19.92,2022-11-18 10:13:02,Expired
R00125,21200449,BT0007,13.15,27.0,2023-03-05 06:17:28,Expired
R00126,21500051,BT0002,29.09,7.67,2020-11-09 08:38:39,Expired
R00127,22101013,BT0006,27.07,22.74,2022-04-18 14:01:33,Expired
R00128,11501150,BT0003,14.96,23.88,2023-09-17 08:38:54,Expired
R00129,21901238,BT0002,2.41,12.83,2024-03-26 03:52:15,Expired
R00130,11300640,BT0002,26.05,6.96,2023-10-12 19:50:19,Expired
R00131,21400605,BT0003,29.49,16.04,2022-11-02 07:24:46,Expired
R00132,11500949,BT0004,16.7,8.88,2019-12-13 16:50:26,Expired
R00133,12201173,BT0006,4.92,6.29,2024-07-01 07:35:00,Expired
R00134,22201115,BT0007,9.66,7.37,2021-01-13 03:05:41,Expired
R00135,11600121,BT0003,4.24,23.81,2021-09-17 15:49:56,Expired
R00136,12100581,BT0003,20.68,8.29,2024-06-27 07:40:29,Expired
R00137,21401227,BT0003,27.5,29.16,2023-06-27 04:19:10,Expired
R00138,42000578,BT0005,18.34,27.38,2020-07-17 12:48:50,Expired
R00139,11300027,BT0002,14.03,15.17,2020-05-27 22:43:25,Expired
R00140,22000486,BT0007,14.89,7.03,2023-12-23 14:08:21,Expired
R00141,41700430,BT0001,15.13,19.24,2024-07-17 10:47:48,Expired
R00142,11400177,BT0003,13.52,7.47,2023-10-09 21:34:45,Expired
R00143,21600495,BT0006,13.53,2.17,2020-05-12 09:25:09,Expired
R00144,21600992,BT0007,15.61,9.37,2024-07-15 14:51:22,Expired
R00145,42100866,BT0003,9.27,18.44,2022-11-12 01:08:40,Expired
R00146,11800108,BT0002,5.92,3.21,2022-04-30 12:14:53,Expired
R00147,11501152,BT0001,10.02,7.39,2021-03-02 15:21:56,Expired
R00148,21400386,BT0002,25.11,18.14,2021-06-02 11:45:49,Expired
R00149,12001264,BT0003,17.48,3.32,2022-04-12 07:04:22,Expired
R00150,21700210,BT0007,17.04,16.32,2020-05-20 17:42:11,Expired
R00151,41500174,BT0003,21.48,25.02,2021-02-24 06:36:40,Expired
R00152,11500079,BT0003,24.87,14.22,2020-09-06 02:07:25,Expired
R00153,41700311,BT0003,23.61,2.36,2022-01-18 22:29:17,Expired
R00154,22200534,BT0003,10.92,6.85,2021-08-11 05:25:47,Expired
R00155,21300458,BT0004,28.91,13.21,2022-09-20 21:33:47,Expired
R00156,21800115,BT0001,10.0,26.76,2021-09-17 21:27:39,Expired
R00157,11201210,BT0002,6.75,20.36,2020-09-13 08:24:54,Expired
R00158,42100346,BT0002,17.42,29.5,2023-04-03 04:48:21,Expired
R00159,41600871,BT0001,27.38,29.99,2020-08-08 03:14:04,Expired
R00160,21500351,BT0006,21.98,10.29,2021-01-01 09:38:39,Expired
R00161,41801230,BT0007,28.24,23.33,2020-09-14 07:32:28,Expired
R00162,12001257,BT0005,13.06,26.92,2020-03-10 03:06:46,Expired
R00163,21700019,BT0005,19.77,27.84,2022-04-24 11:07:43,Expired
R00164,21301097,BT0006,21.29,27.1,2020-12-10 10:54:56,Expired
R00165,21200437,BT0006,20.16,4.54,2023-02-25 00:36:39,Expired
R00166,12201059,BT0007,20.83,18.51,2023-04-22 04:52:03,Expired
R00167,21601023,BT0006,9.7,18.73,2022-02-15 11:34:51,Expired
R00168,11800393,BT0003,11.36,2.46,2024-09-18 18:59:14,Expired
R00169,11401221,BT0007,18.67,20.94,2021-09-18 04:19:22,Expired
R00170,21500636,BT0006,7.88,7.18,2023-08-26 04:52:58,Expired
R00171,22000546,BT0007,19.93,24.22,2023-03-02 07:09:47,Expired
R00172,12201003,BT0006,12.78,18.53,2023-03-03 12:19:59,Expired
R00173,11800823,BT0007,24.02,29.24,2023-07-19 21:24:27,Expired
R00174,21801265,BT0002,3.38,28.8,2020-05-18 22:08:47,Expired
R00175,41200282,BT0001,28.78,14.15,2023-12-12 16:14:12,Expired
R00176,41400954,BT0004,9.21,12.86,2020-06-25 22:32:44,Expired
R00177,11200195,BT0002,15.3,14.38,2023-12-22 02:40:21,Expired
R00178,22200412,BT0005,9.93,21.81,2023-12-12 07:42:04,Expired
R00179,21601181,BT0003,4.8,29.63,2020-08-05 20:45:58,Expired
R00180,21200397,BT0001,28.53,4.85,2023-08-03 03:37:42,Expired
R00181,11901015,BT0002,20.59,17.9,2021-07-08 07:53:27,Expired
R00182,11400635,BT0004,17.76,5.58,2024-06-24 05:32:47,Expired
R00183,41300765,BT0007,9.84,4.04,2022-03-11 00:51:03,Expired
R00184,21501220,BT0005,14.68,25.07,2022-01-31 12:56:53,Expired
R00185,11500714,BT0003,20.54,3.28,2023-04-23 08:14:17,Expired
R00186,11801051,BT0004,11.75,28.89,2023-08-15 19:07:51,Expired
R00187,11700563,BT0002,20.48,26.54,2023-05-21 14:33:09,Expired
R00188,41400185,BT0006,17.28,19.22,2022-08-19 17:54:55,Expired
R00189,41300159,BT0004,2.47,15.69,2020-07-23 16:57:55,Expired
R00190,22000053,BT0006,14.76,3.82,2023-03-16 10:11:38,Expired
R00191,12000856,BT0006,15.27,23.62,2024-07-07 08:18:01,Expired
R00192,42001251,BT0005,28.55,7.64,2024-03-05 09:30:34,Expired
R00193,11200838,BT0007,7.09,22.02,2021-03-20 10:40:04,Expired
R00194,41700252,BT0006,19.95,11.2,2021-09-27 04:58:21,Expired
R00195,42200967,BT0006,26.14,25.26,2020-07-09 08:40:10,Expired
R00196,21200661,BT0007,25.23,24.98,2024-08-14 00:06:24,Expired
R00197,41800755,BT0001,1.88,26.24,2021-05-19 21:45:36,Expired
R00198,11800109,BT0001,29.05,25.12,2022-02-21 09:01:09,Expired
R00199,42101134,BT0006,4.95,13.22,2022-11-13 16:01:27,Expired
R00200,11201272,BT0003,9.32,14.04,2023-03-14 03:31:49,Expired
R00201,41501044,BT0004,25.85,27.75,2021-04-28 17:00:11,Expired
R00202,11500484,BT0005,4.07,6.66,2021-05-02 02:24:33,Expired
R00203,42000690,BT0002,19.4,28.9,2024-05-02 04:52:12,Expired
R00204,21701141,BT0002,15.76,2.73,2023-07-19 02:21:34,Expired
R00205,21900505,BT0003,15.31,24.74,2022-03-02 20:36:19,Expired
R00206,11900475,BT0004,10.31,13.68,2022-06-22 12:37:43,Expired
R00207,12100299,BT0007,3.3,6.26,2023-11-01 17:10:14,Expired
R00208,41700895,BT0004,20.32,24.89,2020-05-09 00:30:13,Expired
R00209,42000363,BT0007,1.56,1.88,2021-04-13 17:19:25,Expired
R00210,41901125,BT0003,9.97,25.87,2024-11-11 07:23:57,Expired
R00211,21400449,BT0004,5.23,8.21,2023-01-12 11:02:29,Expired
R00212,41401285,BT0003,27.3,3.91,2020-10-24 18:05:20,Expired
R00213,11700340,BT0007,20.71,25.59,2021-06-04 10:24:19,Expired
R00214,21601148,BT0001,13.34,7.19,2020-03-22 00:35:59,Expired
R00215,11500645,BT0002,20.79,16.6,2021-06-23 18:00:30,Expired
R00216,11300943,BT0001,3.4,8.89,2024-09-22 00:03:46,Expired
R00217,11200303,BT0003,24.5,26.29,2020-04-23 23:53:50,Expired
R00218,11601227,BT0004,3.31,16.06,2020-09-25 12:33:06,Expired
R00219,11200872,BT0006,24.04,19.1,2022-04-06 14:09:24,Expired
R00220,22200532,BT0004,2.46,19.26,2021-05-03 10:37:35,Expired
R00221,21900225,BT0002,24.99,18.52,2022-10-27 22:14:04,Expired
R00222,41200613,BT0006,17.98,23.81,2020-04-17 05:29:30,Expired
R00223,42100335,BT0003,19.97,19.36,2020-10-26 14:49:49,Expired
R00224,11200994,BT0003,28.71,18.55,2024-10-08 00:11:37,Expired
R00225,21500620,BT0005,21.9,26.75,2022-10-18 16:33:40,Expired
R00226,21600528,BT0004,13.41,29.56,2024-04-23 04:00:43,Expired
R00227,42000493,BT0005,11.06,9.92,2023-08-11 11:33:46,Expired
R00228,41601198,BT0004,18.69,15.67,2020-08-09 08:50:51,Expired
R00229,41800384,BT0004,20.78,28.69,2024-10-22 23:18:41,Expired
R00230,11800762,BT0006,1.84,1.77,2023-03-18 18:09:23,Expired
R00231,41900941,BT0007,11.63,11.11,2021-11-17 09:52:36,Expired
R00232,21400980,BT0007,8.19,24.51,2021-08-02 17:07:57,Expired
R00233,21800223,BT0007,9.46,8.83,2021-06-17 05:17:29,Expired
R00234,22000785,BT0003,23.57,21.63,2024-02-05 05:07:42,Expired
R00235,12200568,BT0004,2.64,15.97,2023-11-30 06:40:37,Expired
R00236,41801171,BT0001,15.07,21.4,2020-02-02 02:46:35,Expired
R00237,11400888,BT0007,6.19,27.16,2020-10-20 16:35:05,Expired
R00238,21400408,BT0006,15.46,18.54,2024-07-05 07:47:14,Expired
R00239,21200411,BT0003,7.86,2.57,2021-11-04 04:05:05,Expired
R00240,41300015,BT0007,16.52,9.08,2023-11-10 10:26:56,Expired
R00241,41801250,BT0002,29.4,24.84,2021-06-16 18:35:18,Expired
R00242,12200884,BT0001,10.62,9.43,2023-08-05 19:18:08,Expired
R00243,11300826,BT0006,22.23,25.63,2021-05-31 00:09:05,Expired
R00244,11700716,BT0003,27.98,7.54,2021-03-01 23:08:08,Expired
R00245,11200070,BT0003,22.99,19.26,2022-08-25 06:40:43,Expired
R00246,41700294,BT0001,23.96,15.81,2020-07-19 09:30:11,Expired
R00247,42200250,BT0001,2.74,17.5,2021-03-20 18:17:06,Expired
R00248,11801270,BT0004,12.9,27.62,2020-09-22 12:06:56,Expired
R00249,41700194,BT0002,4.53,25.39,2020-10-12 10:15:34,Expired
R00250,11500236,BT0002,29.16,22.35,2024-11-16 18:56:39,Expired
R00251,11400444,BT0005,21.06,12.66,2024-05-04 01:08:36,Expired
R00252,22100543,BT0003,15.97,4.2,2021-03-09 07:27:08,Expired
R00253,22000561,BT0004,6.93,15.59,2023-07-03 03:02:37,Expired
R00254,11800995,BT0004,21.35,23.32,2020-08-27 20:41:58,Expired
R00255,11301131,BT0002,21.05,15.55,2020-12-14 15:19:23,Expired
R00256,22200509,BT0001,25.17,24.34,2019-12-30 07:43:31,Expired
R00257,41800531,BT0007,24.15,29.19,2024-09-02 18:04:01,Expired
R00258,22000464,BT0005,14.17,10.55,2023-03-31 03:40:15,Expired
R00259,11601017,BT0004,9.78,8.17,2021-05-12 04:40:49,Expired
R00260,21900066,BT0007,24.05,29.2,2024-01-19 02:54:48,Expired
R00261,22100970,BT0002,17.47,13.56,2023-03-11 02:14:21,Expired
R00262,22100096,BT0001,23.82,15.05,2022-01-14 21:54:25,Expired
R00263,21400847,BT0006,7.45,12.47,2024-04-20 21:41:44,Expired
R00264,42100550,BT0003,27.48,29.46,2020-12-27 09:11:16,Expired
R00265,21700387,BT0003,27.39,13.09,2024-03-11 03:07:15,Expired
R00266,41401047,BT0006,6.91,3.03,2024-07-17 16:41:49,Expired
R00267,21800263,BT0003,23.03,5.65,2021-06-06 11:17:55,Expired
R00268,41500898,BT0002,21.44,24.35,2020-07-22 01:12:56,Expired
R00269,21400229,BT0006,10.36,19.15,2021-12-14 06:04:13,Expired
R00270,12000176,BT0007,5.56,9.77,2021-03-05 07:38:36,Expired
R00271,21601102,BT0004,25.55,8.27,2022-09-10 07:15:11,Expired
R00272,22000515,BT0007,6.25,11.53,2023-06-21 19:41:25,Expired
R00273,41300467,BT0006,26.82,6.49,2020-11-22 09:35:18,Expired
R00274,11901143,BT0005,21.62,28.74,2021-01-20 23:44:54,Expired
R00275,12001293,BT0006,22.07,2.33,2020-10-05 08:04:47,Expired
R00276,12200052,BT0004,4.33,13.61,2020-10-30 01:45:47,Expired
R00277,11800900,BT0005,4.72,28.73,2022-02-18 01:05:21,Expired
R00278,11600045,BT0001,18.34,4.43,2024-09-04 18:08:04,Expired
R00279,41500791,BT0007,19.09,25.35,2024-03-14 10:50:13,Expired
R00280,41600361,BT0004,17.69,15.75,2024-10-11 16:30:39,Expired
R00281,11200414,BT0002,4.07,25.02,2022-07-17 02:10:57,Expired
R00282,41501036,BT0002,19.95,3.46,2023-09-01 09:39:02,Expired
R00283,12000255,BT0007,12.81,22.99,2021-04-04 13:26:10,Expired
R00284,12200725,BT0002,15.49,13.71,2019-12-08 11:43:30,Expired
R00285,11900972,BT0006,2.54,23.84,2021-12-18 06:56:51,Expired
R00286,21500431,BT0004,18.81,12.97,2021-08-07 22:19:25,Expired
R00287,11900901,BT0001,29.94,14.54,2024-06-15 20:19:42,Expired
R00288,22001233,BT0003,24.85,10.11,2024-09-17 23:57:54,Expired
R00289,11601019,BT0001,17.5,1.66,2022-04-15 08:30:28,Expired
R00290,21500131,BT0001,4.46,13.9,2023-08-24 17:23:01,Expired
R00291,41400605,BT0005,17.11,25.85,2023-09-22 06:03:34,Expired
R00292,41600702,BT0005,8.16,5.34,2020-11-27 06:30:52,Expired
R00293,11201219,BT0007,9.39,29.96,2023-07-31 08:15:43,Expired
R00294,41300673,BT0001,4.35,11.8,2023-05-01 16:51:25,Expired
R00295,21200365,BT0005,12.96,16.87,2023-01-14 13:58:50,Expired
R00296,21201103,BT0001,1.98,17.03,2020-11-24 16:37:49,Expired
R00297,11500571,BT0007,1.79,3.23,2024-06-04 18:38:35,Expired
R00298,42001157,BT0005,26.11,6.14,2024-04-18 03:04:38,Expired
R00299,11500219,BT0005,12.15,7.82,2022-02-18 09:02:12,Expired
R00300,41500699,BT0007,9.5,23.24,2020-02-12 06:50:10,Expired
R00301,11501139,BT0002,8.97,5.05,2021-06-27 12:38:11,Expired
R00302,42100899,BT0006,18.12,25.7,2023-02-07 04:42:22,Expired
R00303,22201127,BT0006,13.02,11.1,2024-12-01 04:23:29,Expired
R00304,12200687,BT0005,26.25,24.77,2022-11-08 13:35:48,Expired
R00305,11301149,BT0003,6.25,12.01,2020-12-05 10:54:39,Expired
R00306,21500913,BT0001,13.86,8.79,2021-10-21 18:16:21,Expired
R00307,12000879,BT0005,6.41,11.61,2024-04-24 05:07:20,Expired
R00308,41401174,BT0004,2.2,29.91,2022-09-28 12:19:32,Expired
R00309,41600972,BT0003,5.32,3.1,2021-01-19 02:43:02,Expired
R00310,21400904,BT0007,11.07,4.75,2024-08-06 21:43:08,Expired
R00311,21201034,BT0001,27.24,6.05,2024-06-12 06:27:03,Expired
R00312,21300439,BT0002,17.27,17.31,2023-06-15 10:32:25,Expired
R00313,11400444,BT0001,25.11,18.77,2024-09-22 10:40:53,Expired
R00314,41301059,BT0005,21.11,25.14,2024-01-14 08:18:12,Expired
R00315,41800599,BT0005,10.87,23.02,2020-01-16 04:02:44,Expired
R00316,41600505,BT0002,3.29,29.97,2023-08-21 02:27:31,Expired
R00317,42000004,BT0004,26.72,21.78,2020-04-24 03:00:06,Expired
R00318,11800239,BT0006,15.06,7.77,2020-10-29 16:14:23,Expired
R00319,41400761,BT0002,20.22,24.83,2022-10-10 08:20:01,Expired
R00320,42100319,BT0006,21.72,5.22,2023-12-13 02:57:32,Expired
R00321,41800907,BT0006,12.13,8.4,2020-10-11 18:47:14,Expired
R00322,21800987,BT0002,16.04,8.28,2020-11-13 07:47:00,Expired
R00323,21601078,BT0003,7.97,22.67,2020-01-13 08:10:17,Expired
R00324,42001082,BT0005,26.28,21.14,2023-05-04 21:21:09,Expired
R00325,12100819,BT0007,7.75,6.65,2024-12-02 06:07:09,Expired
R00326,12000372,BT0006,17.69,24.4,2022-01-26 06:29:34,Expired
R00327,41201046,BT0006,20.6,28.2,2021-07-03 23:08:11,Expired
R00328,41500791,BT0004,15.3,24.14,2024-11-20 00:27:08,Expired
R00329,41701263,BT0003,2.56,16.31,2023-01-17 11:37:52,Expired
R00330,11301179,BT0007,26.02,1.89,2024-07-30 10:37:08,Expired
R00331,11200240,BT0006,14.52,4.42,2020-12-11 17:12:23,Expired
R00332,41700992,BT0007,13.31,18.58,2023-03-04 14:44:53,Expired
R00333,11700417,BT0001,24.38,23.61,2020-09-19 02:20:27,Expired
R00334,42200628,BT0007,24.35,5.33,2021-03-30 02:38:28,Expired
R00335,12100598,BT0002,11.65,24.37,2023-04-03 17:44:56,Expired
R00336,42100217,BT0004,18.67,7.18,2020-03-07 12:16:13,Expired
R00337,11301152,BT0006,24.01,5.41,2024-11-06 01:35:35,Expired
R00338,21600939,BT0007,13.31,29.6,2024-11-14 09:51:33,Expired
R00339,41900803,BT0002,4.33,6.64,2024-01-09 09:24:23,Expired
R00340,11300531,BT0003,8.97,29.29,2024-07-06 14:33:03,Expired
R00341,42200235,BT0005,19.39,1.78,2021-04-04 05:52:36,Expired
R00342,41700576,BT0004,8.3,29.83,2023-12-08 04:27:56,Expired
R00343,41700092,BT0007,28.2,18.25,2022-12-25 07:03:36,Expired
R00344,21201127,BT0005,4.9,12.49,2021-12-19 15:40:20,Expired
R00345,22200739,BT0006,14.29,23.51,2021-06-09 19:08:40,Expired
R00346,22200926,BT0003,10.55,18.14,2020-05-17 06:24:37,Expired
R00347,41301077,BT0001,12.08,14.84,2022-07-25 14:24:18,Expired
R00348,42000559,BT0004,4.68,27.88,2020-04-17 10:54:08,Expired
R00349,41201008,BT0002,12.54,5.47,2021-05-06 09:54:38,Expired
R00350,42001170,BT0004,29.66,13.05,2022-11-16 13:57:18,Expired
R00351,21400469,BT0005,20.78,10.21,2022-09-21 06:40:14,Expired
R00352,11400873,BT0002,28.88,12.52,2020-06-04 01:26:57,Expired
R00353,21200811,BT0007,24.74,18.12,2020-04-15 17:52:27,Expired
R00354,11901181,BT0007,11.1,29.24,2021-03-02 21:36:35,Expired
R00355,12100623,BT0003,22.98,13.58,2024-04-06 00:41:16,Expired
R00356,22100444,BT0001,12.01,16.46,2020-02-07 21:26:36,Expired
R00357,11800566,BT0005,24.19,7.99,2021-01-01 05:20:30,Expired
R00358,41900761,BT0005,16.81,9.93,2023-02-27 04:32:26,Expired
R00359,22000899,BT0002,26.84,28.82,2021-06-22 08:33:14,Expired
R00360,42101016,BT0004,5.07,5.62,2023-07-11 08:20:41,Expired
R00361,21300812,BT0002,19.06,25.73,2024-11-17 14:51:48,Expired
R00362,11600504,BT0001,17.45,28.84,2024-10-02 07:08:11,Expired
R00363,12100498,BT0006,6.58,20.35,2020-03-26 02:15:54,Expired
R00364,12000452,BT0006,28.2,18.17,2024-03-11 08:42:28,Expired
R00365,22000551,BT0007,7.44,21.1,2024-04-29 02:07:44,Expired
R00366,42100743,BT0003,2.41,11.22,2021-01-08 22:15:35,Expired
