Record_id,G_id,BetType_id,Odds1,Odds2,Lastest_modified,Status
R000000032,11200065,BT00000001,10.8,6.62,2012/10/17 02:46,Expired
R000000033,11200060,BT00000002,18.55,10.74,2012/10/17 09:11,Expired
R000000034,11200060,BT00000005,16.38,17.96,2012/10/17 15:09,Expired
R000000035,11200066,BT00000003,14.05,18.17,2012/10/17 19:44,Expired
R000000036,11200069,BT00000004,13.84,13.42,2012/10/18 10:07,Expired
R000000037,11200070,BT00000004,13.77,23.26,2012/10/18 12:10,Expired
R000000038,11200069,BT00000006,10.95,17.86,2012/10/18 16:17,Expired
R000000039,11200071,BT00000005,16.27,6.62,2012/10/19 01:32,Expired
R000000040,11200075,BT00000001,2.99,15.51,2012/10/19 03:43,Expired
R000000041,11200075,BT00000007,23.63,12.15,2012/10/19 07:46,Expired
R000000042,11200077,BT00000004,14.81,3.93,2012/10/19 11:13,Expired
R000000043,11200073,BT00000004,3.52,4.81,2012/10/19 17:57,Expired
R000000044,11200077,BT00000001,23.58,19.93,2012/10/19 19:10,Expired
R000000045,11200071,BT00000002,4.61,11.71,2012/10/19 19:19,Expired
R000000046,11200072,BT00000004,14.43,8.48,2012/10/19 21:44,Expired
R000000047,11200083,BT00000003,7.68,8.76,2012/10/20 01:58,Expired
R000000048,11200080,BT00000003,8.18,8.92,2012/10/20 02:02,Expired
R000000049,11200078,BT00000002,11.45,7.05,2012/10/20 05:33,Expired
R000000050,11200079,BT00000004,13.42,12.72,2012/10/20 19:19,Expired
R000000051,11200078,BT00000004,5.36,16.28,2012/10/20 20:08,Expired
R000000052,11200080,BT00000004,18.06,23.92,2012/10/20 22:59,Expired
R000000053,11200086,BT00000006,21.06,5.42,2012/10/21 07:11,Expired
R000000054,11200085,BT00000001,2.75,3.57,2012/10/21 20:30,Expired
R000000055,11200088,BT00000003,12.44,6.01,2012/10/21 21:15,Expired
R000000056,11200087,BT00000002,24.92,15.05,2012/10/21 21:21,Expired
R000000057,11200092,BT00000007,23.89,17.73,2012/10/22 10:14,Expired
R000000058,11200091,BT00000007,4.28,21.31,2012/10/22 12:44,Expired
R000000059,11200089,BT00000004,23.34,5.78,2012/10/22 17:07,Expired
R000000060,11200094,BT00000007,11.13,15.31,2012/10/22 20:06,Expired
R000000061,11200095,BT00000006,24.45,2.68,2012/10/23 05:58,Expired
R000000062,11200096,BT00000001,18.35,13.73,2012/10/23 16:48,Expired
R000000063,11200101,BT00000005,22.46,1.55,2012/10/24 20:54,Expired
R000000064,11200017,BT00000006,7.48,14.52,2012/10/24 22:59,Expired
R000000065,11200109,BT00000002,10.22,13.41,2012/10/25 03:14,Expired
R000000066,11200106,BT00000002,11.37,9.28,2012/10/25 07:35,Expired
R000000067,11200107,BT00000003,2.37,12.81,2012/10/25 12:03,Expired
R000000068,11200116,BT00000003,23.34,14.97,2012/10/26 03:47,Expired
R000000069,11200115,BT00000004,10.96,16.08,2012/10/26 06:12,Expired
R000000070,11200048,BT00000004,16.73,16.79,2012/10/26 09:09,Expired
R000000071,11200117,BT00000006,23.67,23.83,2012/10/26 13:28,Expired
R000000072,11200111,BT00000002,18.02,6.45,2012/10/26 16:31,Expired
R000000073,11200115,BT00000003,23.73,21.68,2012/10/26 18:55,Expired
R000000074,11200110,BT00000003,12.82,13.89,2012/10/26 19:13,Expired
R000000075,11200048,BT00000002,11.12,8.29,2012/10/26 22:21,Expired
R000000076,41200101,BT00000003,18.13,22.18,2013/4/21 00:21,Expired
R000000077,41200151,BT00000006,11.67,8.69,2013/4/21 21:44,Expired
R000000078,41200172,BT00000006,8.2,7.56,2013/4/22 21:19,Expired
R000000079,41200132,BT00000002,15.13,14.96,2013/4/22 21:30,Expired
R000000080,41200112,BT00000007,16.53,8.35,2013/4/23 03:47,Expired
R000000081,41200102,BT00000002,11.23,11.09,2013/4/23 05:33,Expired
R000000082,41200162,BT00000005,20.17,8.58,2013/4/23 08:20,Expired
R000000083,41200162,BT00000003,24.42,7.13,2013/4/23 11:13,Expired
R000000084,41200122,BT00000006,9.76,22.06,2013/4/24 02:38,Expired
R000000085,41200142,BT00000001,10.02,4.96,2013/4/24 07:50,Expired
R000000086,41200133,BT00000001,24.33,24.88,2013/4/25 08:00,Expired
R000000087,41200163,BT00000005,3.76,16.86,2013/4/26 20:02,Expired
R000000088,41200123,BT00000006,19.72,10.91,2013/4/27 01:42,Expired
R000000089,41200143,BT00000006,14.5,13.4,2013/4/27 19:26,Expired
R000000090,41200104,BT00000005,17.41,7.78,2013/4/28 04:12,Expired
R000000091,41200114,BT00000004,20.47,9.97,2013/4/28 05:19,Expired
R000000092,41200154,BT00000006,14.1,4.45,2013/4/28 11:25,Expired
R000000093,41200114,BT00000002,21.1,12.92,2013/4/28 12:20,Expired
R000000094,41200164,BT00000002,17.19,16.2,2013/4/28 19:39,Expired
R000000095,41200164,BT00000007,5.76,14.03,2013/4/28 23:15,Expired
R000000096,41200144,BT00000007,15.99,11.15,2013/4/29 04:05,Expired
R000000097,41200165,BT00000002,22.57,3.93,2013/4/30 19:36,Expired
R000000098,41200145,BT00000003,3.82,21.73,2013/5/1 03:15,Expired
R000000099,41200145,BT00000002,14.93,7.55,2013/5/1 20:57,Expired
R000000100,41200136,BT00000001,17.68,19.23,2013/5/2 13:01,Expired
R000000101,41200146,BT00000003,8.95,8.86,2013/5/3 14:32,Expired
R000000102,41200137,BT00000005,6.84,20.35,2013/5/4 07:47,Expired
R000000103,41200137,BT00000007,17.76,20.35,2013/5/4 23:54,Expired
R000000104,41200201,BT00000007,10.85,6.67,2013/5/6 16:59,Expired
R000000105,41200212,BT00000002,10.39,3.5,2013/5/7 05:27,Expired
R000000106,41200232,BT00000003,5.07,6.83,2013/5/8 07:07,Expired
R000000107,41200232,BT00000002,18.22,24.01,2013/5/8 07:11,Expired
R000000108,41200202,BT00000001,3.25,2.79,2013/5/8 16:06,Expired
R000000109,41200202,BT00000002,15.46,4.03,2013/5/8 22:53,Expired
R000000110,41200203,BT00000005,15.42,1.99,2013/5/10 01:45,Expired
R000000111,41200223,BT00000001,13.22,18.01,2013/5/11 21:10,Expired
R000000112,41200204,BT00000004,6.31,14.45,2013/5/13 19:26,Expired
R000000113,41200224,BT00000005,16.37,11.77,2013/5/13 23:54,Expired
R000000114,41200225,BT00000002,11.24,14.73,2013/5/15 15:52,Expired
R000000115,41200236,BT00000001,21.67,15.63,2013/5/16 03:13,Expired
R000000116,41200236,BT00000007,9.84,14.11,2013/5/16 06:14,Expired
R000000117,41200215,BT00000003,9.08,21.63,2013/5/16 10:34,Expired
R000000118,41200311,BT00000007,16.3,16.15,2013/5/19 01:37,Expired
R000000119,41200312,BT00000005,12.95,14.27,2013/5/21 07:27,Expired
R000000120,41200301,BT00000002,15.1,16.73,2013/5/22 06:19,Expired
R000000121,41200303,BT00000005,15.74,18.4,2013/5/26 05:40,Expired
R000000122,41200303,BT00000002,10.35,15.89,2013/5/26 06:56,Expired
R000000123,41200304,BT00000006,8.01,9.91,2013/5/28 07:19,Expired
R000000125,41200305,BT00000001,15.04,6.49,2013/5/30 09:48,Expired
R000000126,41200306,BT00000001,3.7,17.72,2013/6/1 14:44,Expired
R000000127,41200307,BT00000005,18.6,23.16,2013/6/3 19:07,Expired
R000000129,41200403,BT00000006,5.4,20.72,2013/6/11 01:50,Expired
R000000130,41200405,BT00000006,4.83,11.18,2013/6/16 04:08,Expired
R000000131,41200405,BT00000001,18.02,14.18,2013/6/16 16:05,Expired
R000000132,41200406,BT00000005,5.38,24.63,2013/6/18 17:29,Expired
R000000133,41200407,BT00000002,23.57,15.62,2013/6/20 16:05,Expired
R000000134,11300004,BT00000006,14.26,7.69,2013/10/5 17:42,Expired
R000000135,11300006,BT00000006,24.58,14.21,2013/10/6 04:46,Expired
R000000136,11300006,BT00000004,9.76,20.23,2013/10/6 22:35,Expired
R000000137,11300007,BT00000002,14.43,8.59,2013/10/7 02:07,Expired
R000000138,11300012,BT00000001,22.14,13.42,2013/10/7 02:47,Expired
R000000139,11300014,BT00000007,14.71,23.73,2013/10/7 06:57,Expired
R000000140,11300016,BT00000002,20.06,8.57,2013/10/8 05:56,Expired
R000000141,11300018,BT00000003,16.1,22.88,2013/10/8 14:44,Expired
R000000142,11300021,BT00000003,19.06,1.92,2013/10/8 19:41,Expired
R000000143,11300026,BT00000006,22.56,18.76,2013/10/9 06:13,Expired
R000000144,11300029,BT00000005,5.53,11.86,2013/10/10 11:11,Expired
R000000145,11300029,BT00000001,21.39,17.6,2013/10/10 20:55,Expired
R000000146,11300032,BT00000004,2.58,21.51,2013/10/11 04:15,Expired
R000000147,11300036,BT00000002,10.16,6.21,2013/10/11 08:31,Expired
R000000148,11300034,BT00000003,22.84,3.21,2013/10/11 12:41,Expired
R000000149,11300032,BT00000005,4.45,2.05,2013/10/11 13:54,Expired
R000000150,11300036,BT00000005,24.17,20.35,2013/10/11 17:57,Expired
R000000151,11300032,BT00000001,8.46,14.12,2013/10/11 19:45,Expired
R000000152,11300036,BT00000007,18.26,15.96,2013/10/11 22:49,Expired
R000000153,11300038,BT00000007,8.76,5.03,2013/10/12 05:39,Expired
R000000154,11300040,BT00000003,2.12,9.1,2013/10/12 07:31,Expired
R000000155,11300049,BT00000005,13.39,18.85,2013/10/14 20:31,Expired
R000000156,11300055,BT00000002,11.05,1.96,2013/10/15 05:35,Expired
R000000157,11300057,BT00000001,23.11,16.89,2013/10/15 07:11,Expired
R000000158,11300055,BT00000006,21.57,7.61,2013/10/15 07:49,Expired
R000000159,11300056,BT00000004,23.54,20.14,2013/10/15 16:52,Expired
R000000161,11300059,BT00000004,20.97,16.55,2013/10/16 01:17,Expired
R000000162,11300061,BT00000002,17.79,11.48,2013/10/16 01:42,Expired
R000000163,11300059,BT00000007,15.58,8.31,2013/10/16 05:21,Expired
R000000164,11300059,BT00000006,21.56,14.26,2013/10/16 09:40,Expired
R000000165,11300061,BT00000001,9.31,3.22,2013/10/16 11:52,Expired
R000000167,11300060,BT00000007,14.56,10.29,2013/10/16 13:22,Expired
R000000168,11300058,BT00000005,3.49,14.95,2013/10/16 13:52,Expired
R000000170,11300058,BT00000004,15.93,15.3,2013/10/16 22:29,Expired
R000000171,11300060,BT00000004,9.51,4.8,2013/10/16 23:50,Expired
R000000172,11300065,BT00000004,9.43,16.98,2013/10/17 00:47,Expired
R000000173,11300064,BT00000007,12.95,1.88,2013/10/17 04:25,Expired
R000000175,11300069,BT00000002,11.74,6.09,2013/10/17 12:00,Expired
R000000176,11300069,BT00000003,17.83,10.38,2013/10/17 13:12,Expired
R000000177,11300073,BT00000001,5.73,21.34,2013/10/18 05:52,Expired
R000000178,11300072,BT00000002,10.86,15.68,2013/10/18 07:27,Expired
R000000179,11300071,BT00000005,18.22,22.87,2013/10/18 22:17,Expired
R000000180,11300076,BT00000002,2.72,2.29,2013/10/19 04:42,Expired
R000000181,11300075,BT00000003,23.78,19.7,2013/10/19 22:24,Expired
R000000182,11300075,BT00000006,14.01,8.14,2013/10/19 22:29,Expired
R000000183,11300083,BT00000006,12.28,23.59,2013/10/20 00:08,Expired
R000000184,11300080,BT00000007,6.99,21.47,2013/10/20 01:32,Expired
R000000185,11300081,BT00000006,16.67,7.96,2013/10/20 01:47,Expired
R000000186,11300082,BT00000002,4.79,24.76,2013/10/20 06:20,Expired
R000000187,11300082,BT00000004,5.68,4.22,2013/10/20 06:33,Expired
R000000188,11300086,BT00000003,23.41,3.09,2013/10/21 10:58,Expired
R000000189,11300085,BT00000004,15.94,6.28,2013/10/21 15:13,Expired
R000000190,11300087,BT00000006,16.11,12.93,2013/10/21 19:27,Expired
R000000191,11300084,BT00000004,18.25,22.42,2013/10/21 22:17,Expired
R000000192,11300090,BT00000003,1.77,10.7,2013/10/22 02:23,Expired
R000000194,11300088,BT00000006,22.65,13.76,2013/10/22 06:40,Expired
R000000195,11300088,BT00000004,21.17,16.09,2013/10/22 07:37,Expired
R000000196,11300088,BT00000003,22.02,4.46,2013/10/22 08:14,Expired
R000000197,11300092,BT00000007,5.66,2.15,2013/10/22 19:45,Expired
R000000198,11300089,BT00000003,3.95,15.16,2013/10/22 21:00,Expired
R000000199,11300098,BT00000001,3.66,24.46,2013/10/23 04:15,Expired
R000000200,11300101,BT00000003,14.37,2.43,2013/10/23 08:29,Expired
R000000202,11300094,BT00000006,14.79,13.91,2013/10/23 14:53,Expired
R000000203,11300094,BT00000004,16.18,21.29,2013/10/23 15:47,Expired
R000000204,11300095,BT00000002,13.81,22.46,2013/10/23 18:01,Expired
R000000205,11300103,BT00000004,22.34,5.64,2013/10/23 20:33,Expired
R000000206,11300093,BT00000001,9.54,16.1,2013/10/23 22:52,Expired
R000000207,11300098,BT00000006,17.19,18.56,2013/10/23 23:50,Expired
R000000208,11300106,BT00000003,6.86,11.64,2013/10/24 10:54,Expired
R000000209,11300104,BT00000005,5.63,3.48,2013/10/24 12:22,Expired
R000000210,11300115,BT00000002,14.43,16.12,2013/10/25 04:36,Expired
R000000211,11300112,BT00000002,10.16,11.4,2013/10/25 18:22,Expired
R000000212,11300115,BT00000007,3.16,3.23,2013/10/25 19:42,Expired
R000000213,11300110,BT00000003,14.43,12.04,2013/10/25 22:51,Expired
R000000214,21300002,BT00000007,14.73,6.82,2013/10/29 01:44,Expired
R000000215,21300003,BT00000001,8.97,11.34,2013/10/29 10:13,Expired
R000000216,21300002,BT00000004,20.3,24.17,2013/10/29 15:15,Expired
R000000217,21300015,BT00000007,2.72,23.57,2013/10/30 02:32,Expired
R000000218,21300010,BT00000001,11.74,2.06,2013/10/30 04:12,Expired
R000000219,21300004,BT00000007,7.79,18.73,2013/10/30 12:16,Expired
R000000220,21300012,BT00000002,12.66,8.9,2013/10/30 18:52,Expired
R000000221,21300009,BT00000001,17.08,7.63,2013/10/30 19:01,Expired
R000000222,21300009,BT00000004,12.2,19.48,2013/10/30 19:07,Expired
R000000223,21300010,BT00000002,8.29,18.06,2013/10/30 20:23,Expired
R000000225,21300018,BT00000006,23.41,5.16,2013/10/31 04:46,Expired
R000000226,21300019,BT00000007,13.86,2.11,2013/10/31 13:22,Expired
R000000227,21300028,BT00000002,8.13,11.55,2013/11/1 06:50,Expired
R000000228,21300023,BT00000002,2.12,5.41,2013/11/1 10:14,Expired
R000000229,21300022,BT00000002,10.09,7.42,2013/11/1 10:55,Expired
R000000230,21300027,BT00000001,11,18.14,2013/11/1 11:27,Expired
R000000231,21300028,BT00000004,23.81,24.77,2013/11/1 12:41,Expired
R000000232,21300027,BT00000006,12.1,6.02,2013/11/1 19:49,Expired
R000000233,21300027,BT00000003,9.25,8.22,2013/11/1 21:17,Expired
R000000234,21300038,BT00000004,3.55,13.55,2013/11/2 02:12,Expired
R000000235,21300033,BT00000006,23.81,3.87,2013/11/2 02:53,Expired
R000000236,21300037,BT00000001,1.55,20.18,2013/11/2 03:12,Expired
R000000237,21300036,BT00000007,15.78,19.11,2013/11/2 20:46,Expired
R000000238,21300034,BT00000001,10.69,23.95,2013/11/2 21:19,Expired
R000000239,21300042,BT00000005,14.33,19.82,2013/11/3 00:39,Expired
R000000240,21300042,BT00000001,23.31,14.31,2013/11/3 04:05,Expired
R000000241,21300045,BT00000004,23.25,3.79,2013/11/3 05:58,Expired
R000000242,21300042,BT00000004,22.25,24.57,2013/11/3 23:02,Expired
R000000243,21300049,BT00000002,24.74,17.35,2013/11/4 03:21,Expired
R000000244,21300049,BT00000004,17.55,18.59,2013/11/4 04:11,Expired
R000000245,21300050,BT00000004,23.21,17.58,2013/11/4 21:45,Expired
R000000246,21300052,BT00000001,11.39,5.75,2013/11/5 02:04,Expired
R000000247,21300055,BT00000001,12.85,4.68,2013/11/5 05:46,Expired
R000000248,21300052,BT00000006,16.59,11,2013/11/5 06:57,Expired
R000000249,21300051,BT00000007,14.61,5.95,2013/11/5 15:47,Expired
R000000250,21300060,BT00000005,22.82,1.64,2013/11/6 01:00,Expired
R000000251,21300063,BT00000005,23.88,24.17,2013/11/6 04:13,Expired
R000000252,21300062,BT00000002,1.92,10.72,2013/11/6 04:21,Expired
R000000253,21300069,BT00000001,12.99,9.25,2013/11/6 04:25,Expired
R000000255,21300062,BT00000001,20.54,18.46,2013/11/6 11:53,Expired
R000000256,21300068,BT00000001,24.87,23.32,2013/11/6 22:02,Expired
R000000257,21300081,BT00000002,17.99,20.9,2013/11/8 01:23,Expired
R000000258,21300084,BT00000006,24.92,8.57,2013/11/8 03:33,Expired
R000000259,21300083,BT00000001,12.82,3.2,2013/11/8 06:12,Expired
R000000260,21300074,BT00000007,21.1,10.65,2013/11/8 07:29,Expired
R000000261,21300074,BT00000001,17.44,13.31,2013/11/8 07:55,Expired
R000000262,21300076,BT00000005,23.69,12.35,2013/11/8 09:02,Expired
R000000263,21300075,BT00000007,8.73,19.74,2013/11/8 11:34,Expired
R000000264,21300075,BT00000002,20.08,19.81,2013/11/8 12:05,Expired
R000000265,21300079,BT00000005,20.79,12.22,2013/11/8 12:36,Expired
R000000266,21300083,BT00000006,10.09,12.41,2013/11/8 12:36,Expired
R000000267,21300082,BT00000003,9.73,21.67,2013/11/8 14:19,Expired
R000000268,21300085,BT00000004,18.8,21.64,2013/11/9 02:10,Expired
R000000269,21300089,BT00000004,9.23,23.52,2013/11/9 02:47,Expired
R000000270,21300092,BT00000006,12.17,5.22,2013/11/9 17:49,Expired
R000000271,21300093,BT00000007,5.11,23.9,2013/11/9 22:02,Expired
R000000272,21300097,BT00000001,5.06,16.98,2013/11/10 00:56,Expired
R000000273,21300099,BT00000003,3.69,21.54,2013/11/11 04:34,Expired
R000000274,21300105,BT00000004,11.48,18.84,2013/11/11 05:05,Expired
R000000275,21300102,BT00000004,21,6.9,2013/11/11 09:29,Expired
R000000276,21300103,BT00000002,8.61,4.81,2013/11/11 09:54,Expired
R000000277,21300101,BT00000007,14.62,23.97,2013/11/11 13:37,Expired
R000000278,21300104,BT00000003,16.52,23.13,2013/11/11 14:31,Expired
R000000279,21300100,BT00000002,17.48,24.93,2013/11/11 14:51,Expired
R000000280,21300106,BT00000006,4.27,3.65,2013/11/11 19:48,Expired
R000000281,21300104,BT00000002,8.84,3.11,2013/11/11 21:23,Expired
R000000282,21300109,BT00000004,6.13,4.45,2013/11/12 04:17,Expired
R000000283,21300110,BT00000003,4.94,15.51,2013/11/12 04:29,Expired
R000000284,21300109,BT00000003,20.23,8.93,2013/11/12 18:08,Expired
R000000285,21300114,BT00000002,21.63,21.64,2013/11/13 00:17,Expired
R000000286,21300115,BT00000001,4.75,16.97,2013/11/13 02:04,Expired
R000000287,21300116,BT00000001,23.68,16.64,2013/11/13 03:14,Expired
R000000288,21300118,BT00000003,12.19,22.24,2013/11/13 08:01,Expired
R000000290,21300120,BT00000006,19.18,6.63,2013/11/13 11:03,Expired
R000000291,21300116,BT00000006,24.6,15.98,2013/11/13 12:04,Expired
R000000292,21300115,BT00000005,16.98,16.07,2013/11/13 13:45,Expired
R000000293,21300121,BT00000004,12.94,11.16,2013/11/13 17:16,Expired
R000000294,21300114,BT00000007,19.2,4.47,2013/11/13 20:44,Expired
R000000295,21300122,BT00000004,12.61,22.9,2013/11/13 20:50,Expired
R000000296,21300124,BT00000003,3.03,7.76,2013/11/14 02:40,Expired
R000000297,21300124,BT00000007,22.33,2.35,2013/11/14 14:54,Expired
R000000298,21300133,BT00000005,16.83,20.57,2013/11/15 01:28,Expired
R000000299,21300130,BT00000007,11.03,22.1,2013/11/15 13:51,Expired
R000000300,21300129,BT00000007,21.07,24.6,2013/11/15 17:17,Expired
R000000301,21300128,BT00000002,11.44,16.79,2013/11/15 19:50,Expired
R000000302,21300141,BT00000005,18.13,14.1,2013/11/16 05:49,Expired
R000000303,21300143,BT00000004,4.01,5.75,2013/11/16 06:42,Expired
R000000304,21300140,BT00000003,5.54,19.09,2013/11/16 08:48,Expired
R000000305,21300145,BT00000002,2.46,9.87,2013/11/16 10:32,Expired
R000000306,21300143,BT00000003,22.93,23.48,2013/11/16 11:38,Expired
R000000307,21300146,BT00000004,3.12,16.03,2013/11/16 14:28,Expired
R000000308,21300138,BT00000002,16.13,12.07,2013/11/16 15:07,Expired
R000000309,21300142,BT00000002,23.79,4.4,2013/11/16 16:08,Expired
R000000310,21300144,BT00000006,11.2,24.93,2013/11/16 16:46,Expired
R000000312,21300144,BT00000002,23.99,1.84,2013/11/16 21:35,Expired
R000000313,21300137,BT00000007,17.49,15.18,2013/11/16 22:18,Expired
R000000314,21300147,BT00000002,1.99,7.08,2013/11/17 11:34,Expired
R000000315,21300149,BT00000001,2.48,19.01,2013/11/17 12:01,Expired
R000000316,21300151,BT00000002,21.67,15.82,2013/11/18 07:41,Expired
R000000317,21300150,BT00000007,15.49,19.77,2013/11/18 14:14,Expired
R000000318,21300150,BT00000006,22.65,16.15,2013/11/18 22:01,Expired
R000000319,21300151,BT00000003,4.85,10.02,2013/11/18 22:20,Expired
R000000320,21300157,BT00000002,19.58,15.27,2013/11/19 04:41,Expired
R000000321,21300160,BT00000002,24.54,21.59,2013/11/19 05:19,Expired
R000000322,21300157,BT00000004,20.34,17.24,2013/11/19 05:22,Expired
R000000323,21300156,BT00000007,3.33,16.9,2013/11/19 07:47,Expired
R000000324,21300158,BT00000007,12.3,10.08,2013/11/19 12:17,Expired
R000000326,21300156,BT00000004,14.16,6.81,2013/11/19 15:57,Expired
R000000327,21300158,BT00000004,12.49,20.97,2013/11/19 16:49,Expired
R000000328,21300157,BT00000001,2.79,14.13,2013/11/19 22:37,Expired
R000000329,21300173,BT00000006,15.63,17.14,2013/11/20 07:16,Expired
R000000330,21300164,BT00000001,2.16,21.09,2013/11/20 09:37,Expired
R000000331,21300163,BT00000003,3.92,23.06,2013/11/20 11:03,Expired
R000000332,21300172,BT00000001,2.3,10.38,2013/11/20 13:57,Expired
R000000333,21300170,BT00000007,11.04,11.3,2013/11/20 14:03,Expired
R000000334,21300173,BT00000003,3.71,11.03,2013/11/20 16:03,Expired
R000000335,21300169,BT00000001,9.64,4.22,2013/11/20 21:54,Expired
R000000337,21300174,BT00000003,9.75,10.39,2013/11/21 03:25,Expired
R000000338,21300175,BT00000004,24.44,5.69,2013/11/21 19:23,Expired
R000000340,21300181,BT00000002,3.81,11.75,2013/11/22 04:56,Expired
R000000341,21300179,BT00000002,6.22,8.96,2013/11/22 05:11,Expired
R000000342,21300181,BT00000004,16.24,6.52,2013/11/22 06:26,Expired
R000000343,21300185,BT00000007,11.25,7.31,2013/11/22 09:48,Expired
R000000344,21300176,BT00000001,23.43,18.71,2013/11/22 10:10,Expired
R000000345,21300177,BT00000003,22.45,22.32,2013/11/22 11:58,Expired
R000000346,21300176,BT00000003,22.17,21.18,2013/11/22 12:55,Expired
R000000347,21300185,BT00000003,3.95,10.54,2013/11/22 15:40,Expired
R000000349,21300182,BT00000003,12.2,19.82,2013/11/22 16:27,Expired
R000000350,21300183,BT00000002,2.01,22.51,2013/11/22 23:28,Expired
R000000352,21300194,BT00000003,8.79,8.13,2013/11/23 02:22,Expired
R000000353,21300194,BT00000004,20.67,13.71,2013/11/23 06:41,Expired
R000000354,21300189,BT00000005,3.27,15.1,2013/11/23 11:00,Expired
R000000355,21300194,BT00000002,12.01,10.16,2013/11/23 16:09,Expired
R000000356,21300192,BT00000005,2.56,14.72,2013/11/23 20:39,Expired
R000000357,21300195,BT00000005,1.53,23.81,2013/11/23 23:20,Expired
R000000358,21300201,BT00000003,7.84,11.7,2013/11/24 05:16,Expired
R000000359,21300199,BT00000001,21.9,10.69,2013/11/24 17:31,Expired
R000000360,21300206,BT00000005,19.37,23.82,2013/11/25 08:50,Expired
R000000361,21300213,BT00000004,6.32,11.25,2013/11/26 17:00,Expired
R000000362,21300213,BT00000002,24.51,22.86,2013/11/26 18:23,Expired
R000000363,21300213,BT00000007,14.6,20.08,2013/11/26 22:52,Expired
R000000364,21300222,BT00000005,13.75,2.23,2013/11/27 01:53,Expired
R000000365,21300221,BT00000005,23.13,7.8,2013/11/27 06:05,Expired
R000000366,21300224,BT00000002,19.56,18.68,2013/11/27 07:05,Expired
R000000367,21300218,BT00000006,8.9,4.29,2013/11/27 07:43,Expired
R000000368,21300226,BT00000001,6.82,7.02,2013/11/27 12:17,Expired
R000000369,21300226,BT00000007,4.49,7.19,2013/11/27 13:41,Expired
R000000370,21300220,BT00000003,1.83,4.99,2013/11/27 13:54,Expired
R000000371,21300224,BT00000004,16.84,5.54,2013/11/27 14:34,Expired
R000000372,21300220,BT00000004,9.27,21.19,2013/11/27 15:57,Expired
R000000373,21300217,BT00000002,22.94,6.64,2013/11/27 19:29,Expired
R000000374,21300219,BT00000005,17.66,22.4,2013/11/27 21:46,Expired
R000000375,21300222,BT00000006,22.79,4.25,2013/11/27 23:49,Expired
R000000376,21300232,BT00000002,10.7,21.16,2013/11/29 05:07,Expired
R000000377,21300236,BT00000003,16.28,11.81,2013/11/29 07:15,Expired
R000000378,21300237,BT00000006,15.14,12.06,2013/11/29 08:47,Expired
R000000379,21300228,BT00000004,19.01,18.59,2013/11/29 12:51,Expired
R000000380,21300235,BT00000005,9.66,5.01,2013/11/29 14:58,Expired
R000000381,21300238,BT00000002,21.43,4.24,2013/11/29 15:26,Expired
R000000382,21300235,BT00000006,22.86,16.79,2013/11/29 15:48,Expired
R000000383,21300235,BT00000007,10.84,20.71,2013/11/29 16:46,Expired
R000000385,21300237,BT00000001,7.02,9.26,2013/11/29 23:46,Expired
